,production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng,culture_label_Arachide,culture_label_Bissap,culture_label_Mais,culture_label_Manioc,culture_label_Mil,culture_label_Niebe,culture_label_Pasteque,culture_label_Riz,culture_label_Sesame,culture_label_Sorgho
3373,800,1.0,6,46,63,14.2304389,-16.8679899,1,0,0,0,0,0,0,0,0,0
4626,1500,0.5,7,48,40,15.980688,-16.463694,0,0,0,0,0,0,1,0,0,0
4815,500,1.0,11,50,42,14.819376,-16.445772,0,0,0,0,1,0,0,0,0,0
6193,1000,1.0,8,40,42,14.0237471,-15.1873049,1,0,0,0,0,0,0,0,0,0
2216,350,3.0,7,70,48,15.922639,-16.3964218,0,0,0,0,0,1,0,0,0,0
2968,60,1.070000052,20,57,42,14.6821999,-17.450951,0,0,1,0,0,0,0,0,0,0
2171,100,1.0,8,55,30,14.7902349,-17.2429976,1,0,0,0,0,0,0,0,0,0
1145,500,0.699999988,3,65,42,15.2820089,-16.1713267,0,0,0,0,1,0,0,0,0,0
4389,300,2.0,15,70,48,14.0237471,-15.1873049,0,0,0,0,1,0,0,0,0,0
2082,100,0.5,11,42,42,14.7856199,-16.9137265,1,0,0,0,0,0,0,0,0,0
1398,4000,1.0,10,48,56,14.497401,-14.452362,0,0,0,0,0,0,1,0,0,0
7032,600,0.5,5,54,14,16.5411876,-16.1446242,0,0,1,0,0,0,0,0,0,0
7426,600,1.5,7,47,42,16.444578,-14.351195,1,0,0,0,0,0,0,0,0,0
8037,200,2.0,10,42,40,32.902459,101.706655,0,0,1,0,0,0,0,0,0,0
2820,2000,3.0,11,58,43,15.020773,-15.902403,1,0,0,0,0,0,0,0,0,0
3352,300,1.0,5,48,7,47.62191259999999,-122.3516787,0,0,0,0,1,0,0,0,0,0
6973,40,0.5,8,46,60,15.0379112,-16.2536853,0,0,0,0,0,1,0,0,0,0
4035,2400,11.0,7,76,27,14.497401,-14.452362,0,0,0,0,1,0,0,0,0,0
7902,50,0.800000012,7,46,30,14.7498382,-17.4714214,0,0,0,0,0,0,0,0,0,1
3850,95,1.0,7,41,48,14.8943707,-16.2036778,0,0,0,0,0,1,0,0,0,0
3387,600,1.0,12,59,36,14.85,-16.3667,0,0,0,0,1,0,0,0,0,0
8145,3900,2.0,8,53,87,40.678933,-73.98245299999999,0,0,0,0,1,0,0,0,0,0
7413,600,2.5,6,25,48,13.686106,-15.572626,1,0,0,0,0,0,0,0,0,0
5523,1700,2.0,13,77,35,13.887958,-15.67593,0,0,1,0,0,0,0,0,0,0
4400,2500,3.084199905,19,55,50,13.7725888,-13.6710059,0,0,1,0,0,0,0,0,0,0
1052,370,0.150000006,6,50,75,12.92281,-16.461386,0,1,0,0,0,0,0,0,0,0
2425,700,1.0,8,45,48,38.9543439,-95.2557961,1,0,0,0,0,0,0,0,0,0
7400,250,0.372000009,7,60,56,14.453152,-16.723871,0,0,0,0,1,0,0,0,0,0
2940,300,3.0,6,53,35,15.0482502,-16.8178377,0,0,0,0,1,0,0,0,0,0
8253,200,2.0,7,55,70,15.0285048,-16.9011849,0,0,1,0,0,0,0,0,0,0
5417,500,1.0,12,68,6,13.995527,-15.719152,0,0,1,0,0,0,0,0,0,0
1250,250,0.5,15,79,14,12.766667,-14.666667,0,0,1,0,0,0,0,0,0,0
1355,700,2.0,14,37,56,13.9137639,-15.6676471,0,0,0,0,1,0,0,0,0,0
1433,600,3.0,10,38,46,14.8349101,-15.9007005,0,0,0,0,1,0,0,0,0,0
7122,350,1.0,4,49,40,13.995527,-15.719152,0,0,0,0,0,0,0,1,0,0
7657,35,1.0,5,53,27,13.943329,-16.014255,0,0,0,0,0,1,0,0,0,0
793,400,1.0,9,45,48,15.4603765,-15.0579333,0,0,0,0,1,0,0,0,0,0
2694,700,0.5,6,39,42,13.1805159,-12.0561189,0,0,0,0,0,0,0,1,0,0
5092,750,0.5,12,51,49,12.9161429,-16.4361702,0,0,0,0,0,0,0,1,0,0
7515,300,1.0,5,56,42,14.1321,-15.5533,0,0,0,0,0,0,0,0,0,1
887,1300,2.0,9,57,49,15.09967,-16.229696,1,0,0,0,0,0,0,0,0,0
1241,600,1.0,5,42,49,14.471748,-14.982339,1,0,0,0,0,0,0,0,0,0
6524,750,3.0,11,55,28,14.6709349,-17.4326909,0,0,0,0,1,0,0,0,0,0
7560,900,1.0,8,50,48,14.9382726,-16.3172147,0,0,0,0,1,0,0,0,0,0
721,400,1.5,20,36,56,14.7361419,-16.4435885,1,0,0,0,0,0,0,0,0,0
7661,3000,5.0,7,50,48,14.066667,-15.1,1,0,0,0,0,0,0,0,0,0
6111,100,1.0,7,35,42,41.0054744,-73.905759,0,0,0,0,0,1,0,0,0,0
2572,480,1.5,7,59,54,15.020773,-15.902403,0,0,0,0,1,0,0,0,0,0
5795,2500,4.0,8,64,37,14.7561322,-17.4567048,1,0,0,0,0,0,0,0,0,0
6893,1900,2.0,17,45,56,14.4439458,-16.9961101,1,0,0,0,0,0,0,0,0,0
7797,700,3.0,13,59,49,13.8200177,-14.4388515,0,0,0,0,1,0,0,0,0,0
1994,600,1.5,6,60,48,33.9937575,-81.0299186,1,0,0,0,0,0,0,0,0,0
3809,50,1.0,9,66,48,13.68042,-16.50128,0,0,0,0,1,0,0,0,0,0
6062,80,0.5,20,23,48,40.8075355,-73.9625727,0,0,0,0,0,1,0,0,0,0
596,250,1.0,11,52,12,13.937936,-14.027045,0,0,0,0,0,0,0,0,0,1
4583,150,1.5,6,55,36,15.055022,-16.68219,1,0,0,0,0,0,0,0,0,0
6314,300,1.0,8,47,5,15.0680677,-12.8615504,0,0,0,0,1,0,0,0,0,0
1449,2100,3.0,7,58,42,13.313899,-15.685545,1,0,0,0,0,0,0,0,0,0
7026,560,1.0,9,50,63,14.222893,-16.8182009,0,0,0,0,0,0,0,0,0,1
5781,4000,14.0,17,53,63,15.724629,-16.394213,0,0,0,0,0,1,0,0,0,0
5999,350,1.0,10,61,6,38.8985658,-77.04428419999999,1,0,0,0,0,0,0,0,0,0
3141,4500,5.5,9,56,50,38.6487895,-90.3107962,1,0,0,0,0,0,0,0,0,0
6346,3150,1.0,3,75,40,15.980688,-16.463694,0,0,0,0,1,0,0,0,0,0
1066,400,1.0,6,48,30,15.980688,-16.463694,1,0,0,0,0,0,0,0,0,0
659,800,1.0,21,65,36,12.510241,-16.27865,0,0,0,0,0,0,0,1,0,0
6200,5000,6.0,22,38,74,13.680992,-15.878883,0,0,1,0,0,0,0,0,0,0
2604,1000,1.0,31,73,3,12.466667,-12.65,1,0,0,0,0,0,0,0,0,0
4708,300,1.5,7,60,52,14.7497406,-17.5100452,0,0,0,0,0,0,0,0,0,1
3254,100,0.5,7,69,63,15.51037,-13.263462,0,0,0,0,0,0,0,0,0,1
2579,1800,1.061100006,25,51,60,14.6964336,-16.4768577,1,0,0,0,0,0,0,0,0,0
8119,2000,7.0,16,75,48,14.730208,-16.645218,0,0,0,0,1,0,0,0,0,0
7990,900,1.0,9,70,45,14.2355279,-16.2122225,1,0,0,0,0,0,0,0,0,0
6603,300,0.5,3,34,49,48.4231485,-123.366676,0,0,1,0,0,0,0,0,0,0
4585,2800,7.0,6,69,62,14.497401,-14.452362,1,0,0,0,0,0,0,0,0,0
2488,300,2.0,7,90,48,14.7483711,-17.3613551,0,0,0,0,1,0,0,0,0,0
3269,14,0.25,4,62,56,14.7107147,-17.4584434,0,0,1,0,0,0,0,0,0,0
5850,2650,5.0,9,80,48,14.691,-17.4543767,1,0,0,0,0,0,0,0,0,0
5282,2670,1.5,10,29,35,12.715597,-14.167063,0,0,1,0,0,0,0,0,0,0
1405,300,3.0,5,68,32,42.3770029,-71.11666009999999,1,0,0,0,0,0,0,0,0,0
4602,200,2.0,26,57,56,15.020773,-15.902403,0,0,0,0,0,1,0,0,0,0
6073,750,1.0,7,40,42,12.5604607,-12.1747077,0,0,1,0,0,0,0,0,0,0
7618,1000,3.0,16,44,49,14.3467,-16.1555,1,0,0,0,0,0,0,0,0,0
431,800,2.0,5,37,48,14.270251,-15.9406128,0,0,0,0,1,0,0,0,0,0
979,1500,2.0,14,64,40,14.499522,-16.625093,1,0,0,0,0,0,0,0,0,0
5706,1000,2.0,16,64,97,47.65401360000001,-122.311748,0,0,0,0,1,0,0,0,0,0
