production_kg,superficie,taille_menage,age,nbre_heure_travail,lat,lng,culture_label_Arachide,culture_label_Bissap,culture_label_Mais,culture_label_Manioc,culture_label_Mil,culture_label_Niebe,culture_label_Pasteque,culture_label_Riz,culture_label_Sesame,culture_label_Sorgho
600,2.0,9,42,60,13.8909974,-16.0202031,0,0,0,0,1,0,0,0,0,0
500,1.0,6,60,48,38.6127672,-90.2593798,0,0,0,0,1,0,0,0,0,0
1450,2.0,7,40,57,14.192155,-12.228227,0,0,0,0,1,0,0,0,0,0
780,2.0,7,54,7,14.7145281,-17.2723371,0,0,0,0,0,0,0,1,0,0
250,0.5,17,60,42,14.865665,-15.9068,0,0,1,0,0,0,0,0,0,0
100,1.0,8,50,42,14.229619,-15.16475,0,0,0,0,0,0,0,0,0,1
2500,5.0,5,65,35,13.7776949,-16.3390209,0,0,0,0,1,0,0,0,0,0
4200,6.5,13,58,48,14.85,-16.3667,1,0,0,0,0,0,0,0,0,0
100,1.0,5,74,24,14.25,-15.95,0,0,1,0,0,0,0,0,0,0
250,2.0,14,55,56,13.7725888,-13.6710059,0,0,0,0,1,0,0,0,0,0
800,4.0,7,46,40,14.093,-15.417,0,0,1,0,0,0,0,0,0,0
400,0.5,17,72,7,15.3688083,-13.1365521,0,0,0,0,0,0,0,0,0,1
1110,2.0,15,40,70,14.019646,-16.0640179,0,0,0,0,1,0,0,0,0,0
620,3.0,5,55,56,15.3688083,-13.1365521,0,0,0,0,0,0,0,0,0,1
400,1.0,19,85,48,14.3337037,-15.3306814,0,0,0,0,0,0,0,0,0,1
300,3.0,22,45,84,14.128458,-15.7439194,0,0,0,0,0,1,0,0,0,0
300,0.5,8,49,56,38.8985658,-77.04428419999999,0,0,0,0,0,0,0,1,0,0
2000,5.0,27,40,56,15.48839,-15.944754,0,0,0,0,1,0,0,0,0,0
350,2.0,7,51,42,14.133333,-15.816667,0,0,0,0,1,0,0,0,0,0
80,1.0,7,40,48,14.776901,-16.2051484,0,0,0,0,0,1,0,0,0,0
600,4.0,16,42,7,14.8665572,-15.8994956,1,0,0,0,0,0,0,0,0,0
30,0.25999999,7,56,36,14.840575,-16.531755,0,0,0,0,0,1,0,0,0,0
500,2.0,4,55,56,15.82137,-16.181021,0,0,0,0,0,1,0,0,0,0
4000,8.54279995,25,46,42,13.7725888,-13.6710059,1,0,0,0,0,0,0,0,0,0
1200,2.0,7,57,30,14.7422891,-17.4709289,0,0,0,0,1,0,0,0,0,0
400,0.800000012,14,55,39,14.5349378,-16.5371315,1,0,0,0,0,0,0,0,0,0
1000,3.0,8,58,42,14.497401,-14.452362,1,0,0,0,0,0,0,0,0,0
367,0.200000003,15,32,49,32.7940463,34.989571,1,0,0,0,0,0,0,0,0,0
1440,2.0,21,65,49,12.75,-15.166667,1,0,0,0,0,0,0,0,0,0
4000,4.0,15,51,56,40.7982133,-77.8599084,0,0,0,0,1,0,0,0,0,0
500,0.200000003,13,40,42,14.908855,-15.771968,0,0,0,0,0,0,1,0,0,0
2000,4.0,8,76,85,56.1875112,-4.051706,1,0,0,0,0,0,0,0,0,0
396,0.959999979,10,50,49,30.4132579,-91.1800023,0,0,1,0,0,0,0,0,0,0
2285,2.5,15,32,49,32.7940463,34.989571,0,0,1,0,0,0,0,0,0,0
350,1.0,12,50,40,14.499522,-16.625093,0,0,0,0,1,0,0,0,0,0
200,0.73299998,10,37,70,13.894185,-15.407753,0,0,1,0,0,0,0,0,0,0
95,1.0,9,50,45,14.722741,-17.258266,0,0,0,0,0,1,0,0,0,0
2700,3.0,4,49,12,15.020773,-15.902403,1,0,0,0,0,0,0,0,0,0
500,1.0,7,60,48,33.5772191,-101.9347655,0,0,0,0,1,0,0,0,0,0
400,1.299999952,12,34,35,14.23725,-16.521246,1,0,0,0,0,0,0,0,0,0
400,0.5,8,48,21,48.4231485,-123.366676,1,0,0,0,0,0,0,0,0,0
52,1.0,10,44,63,14.8038531,-15.9053689,0,0,0,0,0,1,0,0,0,0
1000,1.0,10,38,49,14.687512,-12.90313,0,0,1,0,0,0,0,0,0,0
1050,1.0,9,32,40,32.902459,101.706655,1,0,0,0,0,0,0,0,0,0
300,0.349999994,6,47,42,12.8967418,-16.3478507,0,0,0,0,0,0,0,1,0,0
400,0.75,3,47,8,41.6991133,-86.2387627,1,0,0,0,0,0,0,0,0,0
1500,2.0,13,35,49,40.7794366,-73.963244,1,0,0,0,0,0,0,0,0,0
645,0.75,16,47,49,14.497401,-14.452362,0,0,1,0,0,0,0,0,0,0
600,0.5,5,47,7,13.995527,-15.719152,0,0,1,0,0,0,0,0,0,0
1200,2.0,8,44,42,13.7584764,-16.0610787,0,0,0,0,1,0,0,0,0,0
845,1.5,8,40,35,12.912297,-13.96574,0,0,1,0,0,0,0,0,0,0
4000,4.188799858,11,35,70,15.020096,-16.282324,1,0,0,0,0,0,0,0,0,0
501,0.75,12,66,35,13.919217,-15.9259271,0,0,1,0,0,0,0,0,0,0
1000,1.0,9,25,48,13.686106,-15.572626,1,0,0,0,0,0,0,0,0,0
7000,5.907100201,10,76,48,14.7496114,-17.3749044,1,0,0,0,0,0,0,0,0,0
10,0.159999996,8,26,54,15.4184221,-16.0728356,1,0,0,0,0,0,0,0,0,0
700,0.75,11,47,12,14.6821999,-17.450951,0,0,0,0,0,0,0,0,0,1
700,2.0,7,55,90,15.2820089,-16.1713267,0,0,0,0,1,0,0,0,0,0
700,1.0,5,35,49,14.471748,-14.982339,0,0,1,0,0,0,0,0,0,0
750,0.817900002,15,66,35,12.9311243,-14.2014466,0,0,1,0,0,0,0,0,0,0
500,1.0,7,63,6,14.7145281,-17.2723371,0,0,0,0,0,0,0,1,0,0
7500,3.0,14,67,49,15.4603765,-15.0579333,0,0,0,0,0,0,1,0,0,0
300,0.5,15,50,56,16.029159,-16.5038288,1,0,0,0,0,0,0,0,0,0
1700,2.0,13,77,35,13.887958,-15.67593,0,0,1,0,0,0,0,0,0,0
1000,3.0,18,50,3,-1.7469359,136.1709012,0,0,1,0,0,0,0,0,0,0
100,0.5,7,50,56,15.9156999,-15.8525154,0,0,0,0,0,1,0,0,0,0
300,2.0,5,48,49,45.54561229999999,-73.56157300000001,0,0,1,0,0,0,0,0,0,0
80,1.0,16,40,48,14.229619,-15.16475,0,0,0,0,0,0,0,0,1,0
450,2.0,7,47,6,47.816147,1.473408,0,0,0,0,0,0,0,1,0,0
1470,3.0,28,47,35,14.6019512,-17.1469751,0,0,0,0,0,0,0,0,0,1
750,1.0,12,68,48,12.972688,-16.229309,1,0,0,0,0,0,0,0,0,0
200,0.25,7,52,3,14.1367815,-12.6216211,0,0,1,0,0,0,0,0,0,0
700,4.0,8,62,63,14.270251,-15.9406128,0,0,0,0,0,1,0,0,0,0
355,1.0,15,50,42,13.5238459,-13.511882,0,0,0,0,0,0,0,1,0,0
300,1.0,6,70,48,15.0,-16.416667,1,0,0,0,0,0,0,0,0,0
150,0.582599998,10,60,70,14.3699709,-16.9376239,0,0,0,0,0,1,0,0,0,0
650,0.159999996,7,75,48,15.084,-12.63,0,0,1,0,0,0,0,0,0,0
300,1.0,13,59,49,13.8200177,-14.4388515,0,0,1,0,0,0,0,0,0,0
3582,0.419539988,13,72,7,12.5072598,-16.6630268,0,0,0,0,0,0,0,1,0,0
210,2.5,7,44,48,15.17734,-16.304724,1,0,0,0,0,0,0,0,0,0
600,1.5,15,35,60,14.1652083,-16.0757749,0,0,1,0,0,0,0,0,0,0
470,1.0,8,45,70,16.0168242,-16.4928616,0,0,0,0,1,0,0,0,0,0
275,0.75,10,60,52,12.8924707,-14.3355527,0,0,0,0,1,0,0,0,0,0
550,0.75,6,40,42,13.233333,-13.7,0,0,1,0,0,0,0,0,0,0
100,0.5,8,36,12,12.5593109,-12.870689,0,0,0,0,0,0,0,1,0,0
1000,10.0,27,64,60,14.0731738,-16.6934134,0,0,0,0,0,1,0,0,0,0
50,0.316455692,12,39,42,39.9566127,-75.18994409999999,0,0,1,0,0,0,0,0,0,0
1000,1.0,8,26,49,14.1652083,-16.0757749,0,0,0,0,0,0,0,0,0,1
1800,1.299999952,11,30,48,12.60332,-16.0566701,1,0,0,0,0,0,0,0,0,0
1350,2.75,28,47,35,14.6019512,-17.1469751,0,0,1,0,0,0,0,0,0,0
2460,4.0,15,52,40,14.7158,-16.0364,0,0,0,0,1,0,0,0,0,0
1000,2.0,12,49,12,40.7794366,-73.963244,0,0,0,0,0,0,0,1,0,0
350,0.5,15,41,49,12.8967418,-16.3478507,0,0,0,0,0,0,0,1,0,0
1000,2.0,6,33,52,14.7497406,-17.5100452,0,0,0,0,1,0,0,0,0,0
1000,1.0,5,45,35,13.1685154,-15.0937378,1,0,0,0,0,0,0,0,0,0
400,3.0,7,51,54,14.747334,-17.5075953,0,0,0,0,1,0,0,0,0,0
1700,3.0,33,60,56,14.497401,-14.452362,0,0,0,0,1,0,0,0,0,0
50,0.5,12,47,35,12.6982299,-15.8453924,0,0,0,0,0,0,0,0,1,0
400,1.0,10,60,48,14.7309898,-17.4682077,0,0,0,0,1,0,0,0,0,0
200,2.0,14,33,46,13.3147492,-14.2123581,1,0,0,0,0,0,0,0,0,0
