id_men,culture_label,production_kg,superficie
122,Sorgho,2600,2.5
123,Arachide,500,0.5
123,Mil,1000,1
123,Niebe,250,0.400000006
124,Niebe,360,2.5
125,Mil,100,2
126,Arachide,350,1.799999952
126,Mil,500,2
127,Arachide,600,2
127,Mais,300,1
127,Mil,150,1
128,Mil,50,1
128,Sesame,200,1
129,Arachide,4000,7
129,Mais,4800,7
130,Arachide,350,0.5
130,Mil,45,0.5
130,Riz,2500,0.5
131,Mais,250,1
131,Mil,200,1
131,Riz,75,0.5
132,Arachide,300,3
132,Mil,200,2.5
133,Arachide,500,0.5
133,Mil,100,0.400000006
134,Pasteque,3500,1
135,Mil,650,1.5
135,Niebe,25,0.5
136,Arachide,1500,2
136,Mil,900,1
137,Niebe,30,1
138,Mais,50,1
139,Arachide,800,1
139,Riz,900,0.5
140,Arachide,100,1
140,Mil,500,1
140,Niebe,50,0.5
141,Arachide,400,2
141,Niebe,120,3
142,Arachide,500,7
142,Mil,300,3
143,Arachide,2000,5
143,Mais,300,2
143,Mil,500,3
143,Sorgho,0,2
144,Mil,600,1
145,Mil,250,0.5
146,Arachide,0,3
146,Mais,250,1.5
147,Arachide,3000,5
147,Mais,600,2
147,Mil,800,3
147,Sesame,100,1
148,Arachide,600,4
148,Mil,800,3
148,Niebe,75,1
148,Pasteque,700,1
149,Arachide,350,1
149,Sorgho,400,2.5
150,Mil,600,1
150,Sorgho,300,0.75
151,Arachide,900,2
151,Mil,1000,2
152,Arachide,1650,1
152,Mais,100,1
152,Mil,200,2
152,Sorgho,1000,1
153,Arachide,1600,3
153,Mil,1000,2
153,Niebe,600,2
154,Arachide,150,1
154,Mais,327,1
154,Mil,130,2
155,Mil,110,1
155,Niebe,200,5
156,Arachide,500,2
156,Mais,700,2
156,Riz,350,1
157,Arachide,1700,10
157,Mil,2800,15
158,Arachide,1800,15
158,Mil,350,3
159,Mil,600,2
159,Sorgho,450,2
160,Mil,1100,2
160,Niebe,85,1
161,Arachide,120,3
161,Niebe,140,4
162,Arachide,50,0.529999971
162,Mil,110,0.730000019
163,Riz,1764,0.5
164,Arachide,650,2
164,Mil,2850,3
165,Arachide,75,0.5
165,Mil,100,1
166,Arachide,300,1.25
166,Mil,500,1.25
166,Niebe,40,0.25
167,Arachide,2500,1
168,Arachide,1500,3
168,Mil,700,2
168,Sorgho,150,1
169,Arachide,750,2.5
169,Mil,0,1
170,Arachide,1500,2
170,Mais,450,1
170,Mil,600,1
171,Arachide,1200,5
171,Mil,2500,10
172,Arachide,3600,3
172,Riz,860,1.911111116
173,Arachide,2000,4
173,Mil,1000,6
173,Niebe,0,1
174,Riz,1500,1
175,Arachide,550,2
175,Mais,300,1
175,Mil,600,2
175,Sorgho,75,1
176,Arachide,1300,4
176,Mais,400,1
176,Mil,1600,3
177,Arachide,700,2
177,Mais,200,2
177,Sorgho,100,2
178,Arachide,200,1
178,Mil,257,1
178,Niebe,40,0.280000001
179,Arachide,500,1.5
179,Mil,340,2
179,Riz,670,2.5
180,Mais,180,1
180,Mil,250,1
181,Arachide,800,1
181,Mil,500,2
182,Mil,200,0.5
183,Sorgho,50,0.200000003
184,Arachide,900,3
184,Mil,900,2.5
184,Riz,600,1
185,Arachide,475,10
185,Mil,2500,5
185,Niebe,125,2
186,Arachide,900,1.5
186,Mais,800,1
186,Riz,700,1
187,Arachide,500,2.099999905
187,Mil,500,2
187,Niebe,100,0.699999988
188,Arachide,400,2
188,Mil,600,3.5
188,Niebe,700,3.5
189,Mil,200,2
189,Riz,75,0.5
190,Arachide,350,1.200000048
190,Mil,100,2
191,Arachide,500,1
191,Riz,700,0.899999976
192,Arachide,100,0.090000004
192,Mil,30,0.050000001
193,Arachide,300,0.5
193,Mais,50,0.800000012
193,Mil,800,1.5
193,Niebe,200,0.699999988
193,Sorgho,650,1.5
194,Arachide,550,4
194,Mil,400,2
195,Arachide,2000,25
195,Mil,1500,20
195,Niebe,400,5
196,Arachide,800,2
196,Mil,300,2
197,Riz,350,0.25
198,Mais,750,0.5
199,Mais,5000,1
199,Riz,450,1
200,Arachide,0,0.122500002
201,Bissap,130,1
201,Niebe,100,1
202,Mais,400,1
202,Mil,200,1
203,Arachide,300,2
203,Mil,600,3
203,Niebe,50,1
204,Arachide,775,1.5
204,Mais,890,2
204,Riz,0,0.5
205,Arachide,500,1
205,Mais,100,1
205,Mil,200,1
206,Sorgho,540,1
207,Arachide,200,1
207,Mais,0,0.25
207,Mil,459,1.25
207,Sorgho,0,0.25
208,Arachide,1000,1.5
208,Riz,600,0.5
208,Sesame,600,1
209,Arachide,200,1.25
209,Mais,206,0.5
209,Mil,459,1.25
210,Arachide,1080,1
210,Mil,845,0.5
210,Niebe,100,0.5
211,Arachide,200,1
211,Niebe,300,1
212,Mil,50,0.5
213,Arachide,300,1
213,Mil,750,2
213,Sorgho,100,1
214,Arachide,300,1
215,Arachide,60,0.5
215,Mil,700,2
215,Niebe,30,0.5
216,Arachide,500,1
216,Niebe,300,1
217,Arachide,800,2
217,Mil,800,2.5
217,Niebe,50,0.5
218,Arachide,1700,1
218,Mil,950,1
219,Mil,200,0.5
219,Niebe,50,0.5
220,Arachide,100,1
220,Niebe,300,2
221,Arachide,200,1
221,Mil,500,2
221,Niebe,100,1
222,Arachide,2500,1.5
223,Arachide,900,1
223,Mil,300,0.449999988
223,Niebe,45,0.300000012
223,Riz,150,0.25
224,Arachide,350,1
224,Mil,400,1
224,Niebe,80,1
225,Arachide,800,3
225,Mais,200,1
225,Mil,300,2
226,Arachide,500,6
226,Mais,400,4
226,Mil,600,6
227,Arachide,150,2
228,Arachide,1500,1
228,Mil,1000,1
229,Arachide,3400,5
229,Mil,3200,6
229,Sorgho,300,1
229,Sesame,150,0.5
230,Arachide,280,0.25
230,Riz,600,1
231,Arachide,1700,1.5
231,Mil,1500,2.5
232,Arachide,250,1
233,Arachide,2700,7
233,Mil,1500,7
233,Niebe,150,3
234,Arachide,300,0.5
234,Mil,350,1
234,Niebe,100,1
235,Sorgho,200,2.5
237,Arachide,20,0.5
237,Mil,100,1
238,Sorgho,500,0.5
239,Arachide,2100,2
240,Arachide,1000,4
240,Mais,0,1
240,Mil,600,2
241,Arachide,2000,2
241,Mais,750,2
241,Mil,600,2
241,Sorgho,800,2
242,Mais,150,0.25
242,Sorgho,250,0.3222
243,Arachide,300,1
243,Mil,800,2
244,Mais,50,0.119999997
245,Arachide,1200,4.5
245,Mil,2000,4.5
245,Niebe,120,1
246,Mais,150,0.5
246,Riz,100,0.5
247,Arachide,50,1
247,Mil,100,1
248,Arachide,1000,1
248,Mil,2000,1
249,Arachide,650,2
249,Mil,500,2
250,Arachide,250,2
250,Mais,100,2
251,Arachide,1200,1
251,Mais,600,1
252,Arachide,400,2
252,Niebe,240,2
253,Arachide,450,1
253,Mil,500,1.5
254,Arachide,500,3
254,Mil,400,2
254,Sorgho,50,1
255,Arachide,2500,5
255,Bissap,50,0.25
255,Mil,1500,4
255,Niebe,200,0.5
256,Arachide,350,1
256,Mil,1200,3
256,Niebe,200,0.5
257,Riz,1500,0.239999995
258,Arachide,900,1
258,Mil,1500,1.5
259,Arachide,500,1
259,Mil,500,1
260,Arachide,2300,2.5
260,Mil,1900,3
261,Arachide,150,1
261,Mais,100,1
261,Mil,200,1
262,Arachide,200,0.300000012
262,Manioc,6000,1.5
262,Niebe,31,0.200000003
263,Mais,520,1
263,Riz,350,1
264,Riz,500,0.349999994
265,Arachide,500,2
265,Mil,1500,5
265,Niebe,0,2
265,Pasteque,1000,1
266,Arachide,350,0.5
266,Mais,350,0.5
267,Arachide,600,1.899999976
267,Mil,1000,1.600000024
267,Niebe,200,0.800000012
268,Arachide,4000,4
268,Mais,900,1.75
269,Aubergine,12,0.1417
269,Tomate,15,0.288500011
270,Arachide,2500,2
270,Mil,500,1.5
271,Arachide,475,0.5
271,Fonio,400,0.5
271,Mais,900,1
272,Arachide,950,0.699999988
272,Riz,74,0.75
273,Arachide,600,4
273,Gombo,50,0.005
273,Mil,800,2
274,Arachide,500,1
274,Mais,150,1
274,Mil,200,2
274,Sorgho,100,1
275,Arachide,750,3
275,Mil,300,1
275,Niebe,600,2
276,Arachide,1000,6.307600021
276,Mil,500,1.163400054
276,Sorgho,300,2.386800051
277,Arachide,2000,3
277,Mais,100,1
277,Mil,2300,2
278,Arachide,500,1
278,Mil,700,1
279,Persil,200,0.119999997
280,Niebe,0,2
281,Arachide,200,0.271899998
281,Mil,500,0.341800004
282,Arachide,120,1
282,Mais,412,1
282,Mil,734,2
283,Arachide,1400,2
283,Mais,260,2
283,Mil,2800,3
284,Arachide,200,1
284,Mil,600,1.5
284,Niebe,35,0.5
285,Mil,800,2
286,Arachide,3500,4
286,Mais,50,0.5
286,Mil,3000,4
286,Sorgho,300,2
287,Mil,500,1
288,Arachide,1600,2
288,Mais,300,1
288,Mil,2130,3
289,Niebe,450,2
290,Riz,400,1
291,Arachide,2100,3
291,Mil,500,3
292,Arachide,400,1.25
292,Mil,750,0.5
292,Niebe,50,0.25
293,Arachide,2100,2
293,Riz,800,1.5
294,Mil,100,2
295,Arachide,1200,2.5
295,Mil,800,2
295,Niebe,35,0.5
296,Arachide,2500,4
296,Mil,1200,4
296,Niebe,350,2
297,Arachide,600,3
297,Mais,240,1
297,Mil,917,2.5
297,Riz,0,0.75
298,Arachide,22470,23
298,Mais,1740,3
298,Sorgho,1825,2
299,Arachide,200,0.5
299,Mais,200,0.5
299,Niebe,10,0.25
300,Arachide,400,1
300,Mil,1500,1
301,Arachide,500,5
301,Mil,1000,3
302,Sorgho,700,3
303,Arachide,150,2
303,Manioc,0,1
303,Mil,500,1
304,Riz,2500,1.5
305,Arachide,200,0.349999994
305,Mais,331,0.300000012
306,Arachide,200,1
306,Mil,450,1
306,Niebe,150,1
307,Riz,321,0.400000006
308,Riz,900,0.75
309,Arachide,1500,2
309,Mais,1000,1.5
309,Mil,1600,1.5
310,Riz,900,1
311,Arachide,650,2
311,Mil,400,3
312,Arachide,850,1.5
312,Mais,400,0.5
312,Mil,500,1
312,Sesame,150,1
313,Arachide,550,0.699999988
313,Pasteque,12,0.003
313,Riz,350,0.5
314,Arachide,1000,2
314,Mais,1500,2
315,Riz,668,0.585749984
316,Riz,250,1
317,Mais,400,1
317,Mil,400,1
317,Niebe,134,1
318,Arachide,405,0.300000012
318,Mais,350,0.25
318,Sorgho,395,0.400000006
319,Arachide,800,1.5
319,Mais,250,0.800000012
319,Mil,200,0.5
320,Mil,120,0.5
321,Mil,100,1
322,Niebe,100,1
323,Niebe,350,9
324,Mais,550,1
325,Mais,300,2
325,Mil,300,2
326,Arachide,2000,2
326,Mil,1200,1
327,Mais,500,1
327,Mil,500,1
328,Arachide,350,1
328,Niebe,100,2
329,Arachide,1400,2.763299942
329,Mais,200,0.857200027
329,Mil,850,2.763299942
330,Arachide,200,1
330,Niebe,63,1
331,Arachide,2600,6
331,Mil,2500,4
332,Arachide,180,1
332,Mais,800,2.25
332,Sorgho,625,0.75
333,Arachide,1200,2
333,Mil,667,2
333,Sorgho,600,2
333,Sesame,200,1.5
334,Arachide,100,0.5
334,Mil,600,1
334,Sorgho,250,1
335,Arachide,100,0.578199983
335,Mais,300,0.28459999
335,Mil,50,0.349099994
336,Bissap,45,0.229200006
336,Niebe,75,0.239099994
337,Mil,350,1.899999976
337,Niebe,180,0.899999976
338,Arachide,1500,3
338,Mil,700,2
339,Niebe,200,2
340,Mais,700,0.5
340,Sorgho,1000,1
341,Sorgho,50,0.326499999
342,Arachide,200,0.277399987
342,Mil,500,0.212300003
343,Arachide,200,1
343,Mais,400,1
343,Mil,200,1
343,Niebe,400,1
344,Arachide,500,0.38440001
344,Mil,500,0.441000015
344,Sorgho,10,0.0241
345,Arachide,750,1
345,Mais,400,1
345,Riz,50,1
346,Mais,50,1
346,Mil,100,2
347,Arachide,1400,1.5
347,Mais,2240,1.25
347,Riz,170,0.5
347,Sorgho,645,1
348,Arachide,2760,3
348,Mais,675,2
348,Riz,350,1.5
348,Sorgho,720,1
349,Riz,200,0.25
350,Arachide,700,1
350,Mil,600,1
350,Niebe,90,1
351,Arachide,250,1
351,Mil,200,1
352,Arachide,985,4
352,Mil,1300,3
353,Arachide,4900,1
353,Mais,1000,1
353,Mil,250,1
354,Arachide,200,4
354,Mais,35,0.5
354,Mil,1050,3
354,Niebe,45,0.5
354,Pasteque,359,0.5
355,Arachide,500,1
355,Mil,1600,2.5
355,Niebe,150,0.300000012
356,Arachide,0,2
356,Mais,100,1
356,Mil,250,2
357,Arachide,200,2
357,Mais,50,1
357,Mil,1000,2
357,Niebe,95,1
357,Pasteque,350,1
357,Sorgho,100,1
359,Arachide,1800,3
359,Niebe,150,1
360,Mais,300,2
360,Mil,600,2
361,Riz,800,1
362,Arachide,900,3
362,Mil,350,1
362,Niebe,60,2
363,Arachide,308,1
363,Mil,257,1
363,Sorgho,65,0.324999988
364,Arachide,600,1.637500048
364,Mais,2000,2.444299936
365,Arachide,800,4
366,Arachide,480,2
367,Arachide,307,7
367,Mil,1091,6
367,Niebe,170,2.5
368,Arachide,900,2
368,Mil,300,1
369,Mais,100,0.25
370,Arachide,720,1
370,Mil,400,1
371,Arachide,1200,1.5
371,Mais,1000,0.5
371,Mil,4000,2
372,Riz,8500,1
373,Arachide,3500,6
373,Mais,1100,2
373,Mil,2200,4
373,Sorgho,1000,2
374,Arachide,700,0.429699987
374,Niebe,100,0.4023
374,Sorgho,1200,1.184299946
375,Arachide,0,3
375,Mil,0,4
375,Niebe,0,1
376,Mil,10,0.025
376,Riz,200,0.02
377,Arachide,700,1
377,Mil,200,2
377,Sorgho,300,2
378,Mais,300,1
378,Mil,1500,3
378,Sorgho,400,2
379,Mil,513,1.5
379,Niebe,300,1.5
380,Arachide,500,0.109800003
380,Mil,1000,1
381,Arachide,500,2
383,Mil,750,2
383,Niebe,360,1
383,Pasteque,6600,1
384,Arachide,100,0.75
384,Mil,250,1.5
385,Arachide,2000,2
385,Mil,1500,1
386,Sorgho,1900,0.5
387,Arachide,1500,2
387,Mil,1840,4
387,Niebe,50,1
388,Arachide,800,2
389,Mais,400,0.200000003
389,Mil,765,0.449999988
390,Arachide,230,0.5
390,Manioc,5000,0.699999988
390,Niebe,200,0.349999994
391,Arachide,40,0.5
391,Niebe,140,1
392,Niebe,159,1
393,Arachide,400,4
393,Mil,1000,11
394,Arachide,2000,4
394,Mais,1200,2
394,Mil,2500,6
395,Arachide,350,0.400000006
395,Mil,300,0.5
395,Riz,250,0.449999988
396,Riz,1800,1.5
397,Niebe,16,0.100000001
397,Pasteque,3000,1.200000048
398,Arachide,400,1.5
398,Mil,3000,6.521739006
398,Niebe,150,0.833333313
399,Arachide,750,1
399,Mais,800,1
399,Mil,900,1
399,Sorgho,920,1
400,Niebe,120,0.699999988
401,Arachide,60,1
401,Mil,350,1
401,Niebe,30,1
402,Arachide,3400,6
402,Mil,400,2
402,Sorgho,50,0.5
402,Sesame,50,0.5
403,Mais,900,1
403,Sorgho,800,1
404,Arachide,1800,4
404,Mais,350,1
404,Mil,2000,10
405,Arachide,1755,4
405,Mil,1750,5
406,Arachide,200,2
406,Mais,50,1
406,Mil,1067,2
407,Arachide,900,1.5
407,Mil,770,1.5
407,Niebe,245,0.5
408,Arachide,800,1
408,Mil,750,2
409,Riz,250,1
410,Arachide,500,1.185899973
410,Mil,350,0.419699997
410,Sorgho,50,0.195500001
411,Mil,500,3.5
411,Niebe,600,2.5
413,Arachide,200,1
413,Mil,200,1
414,Arachide,200,3
415,Arachide,600,1.5
415,Mil,300,1
415,Sorgho,600,1.5
416,Arachide,630,0.634239972
416,Mais,450,0.395920008
418,Arachide,325,1
418,Mais,215,0.25
418,Mil,250,0.75
418,Riz,120,0.25
418,Sorgho,175,0.25
419,Arachide,404,2.5
419,Manioc,7200,3
420,Mil,400,1.700000048
421,Arachide,850,3
421,Mil,1050,2
421,Niebe,350,1
422,Riz,800,1
423,Arachide,3500,2
423,Mais,160,0.5
423,Mil,600,2
423,Sorgho,150,0.5
423,Sesame,200,1
424,Riz,400,0.449999988
425,Arachide,700,7
425,Mais,200,3
425,Mil,1000,5
426,Arachide,900,3
426,Mil,1600,4
426,Niebe,75,0.400000006
427,Arachide,3000,8
427,Mil,2000,7
428,Arachide,650,1
428,Mil,500,1
428,Niebe,200,1
429,Arachide,1450,2.75
429,Mais,345,0.75
429,Sorgho,1015,1.75
430,Mil,500,1
430,Niebe,80,1
431,Mais,0,0.550000012
431,Riz,96,0.270000011
431,Sorgho,750,0.850000024
432,Mais,70,1
432,Mil,500,2.5
432,Riz,1000,1
433,Arachide,600,1
433,Mil,400,1
433,Niebe,80,1
434,Arachide,500,10
434,Mil,1917,5
435,Arachide,1160,4
435,Mais,300,1
435,Mil,1600,4
436,Arachide,1500,2
436,Mil,1300,2
437,Mil,1,0.0025
437,Riz,2,0.0025
438,Riz,1200,0.349999994
439,Arachide,600,6
439,Niebe,800,4
440,Arachide,100,0.25
440,Mais,150,0.25
440,Mil,200,1
441,Arachide,3200,4
441,Mil,1500,4
442,Arachide,250,1
442,Mil,450,2
442,Niebe,150,1
443,Niebe,316,0.310189992
444,Arachide,200,2
444,Mil,400,2
444,Sorgho,200,2
445,Arachide,500,0.699999988
445,Mil,300,1
446,Arachide,500,2
446,Mais,50,2
446,Mil,150,2
447,Mais,500,4
447,Mil,400,4
448,Arachide,0,2
448,Mil,600,2
449,Mais,600,1
450,Arachide,1200,8
450,Mil,1000,6
450,Niebe,500,5
451,Arachide,900,1
451,Mais,420,1
451,Mil,540,1
452,Arachide,60,1
452,Mil,15,0.5
452,Niebe,100,1
453,Arachide,15,0.300000012
453,Riz,2800,0.400000006
454,Arachide,700,1
454,Mil,500,1
455,Arachide,1600,2
455,Mil,1250,1
455,Niebe,450,3
456,Arachide,1000,1.466500044
456,Mais,300,0.266900003
456,Sorgho,100,0.133499995
457,Arachide,4350,3
457,Mais,350,2
457,Sorgho,3200,8
458,Arachide,390,2
458,Sorgho,550,2
459,Niebe,150,3
460,Arachide,250,1
460,Mais,98,1
460,Riz,25,0.5
461,Arachide,900,2
461,Niebe,20,0.5
461,Riz,1100,1
462,Mil,1045,1.120900035
463,Arachide,1000,3
463,Mil,350,1
464,Arachide,300,2
464,Mil,100,1
465,Arachide,800,13
465,Mil,1500,5
465,Niebe,300,2
466,Arachide,2000,1
466,Mais,500,1
466,Riz,1150,1
467,Arachide,350,2
467,Mais,250,4
467,Riz,355,1
468,Arachide,3600,6
468,Mais,188,0.25
468,Mil,2000,3.5
468,Sesame,44,0.25
469,Arachide,800,2
469,Mil,2500,2
470,Arachide,1500,0.157900006
470,Mais,800,0.449800014
470,Mil,1200,1.621899962
471,Arachide,1500,2
471,Mil,1200,1
472,Riz,750,0.5
473,Mais,700,1
473,Mil,400,1
474,Arachide,1500,2
474,Mais,300,1
474,Mil,1000,2
475,Arachide,500,2
475,Mil,700,2
475,Sorgho,900,3
476,Arachide,100,0.25
476,Sorgho,280,0.25
477,Arachide,70,1
477,Mil,410,1
477,Sorgho,100,1
478,Arachide,1300,2
478,Mil,800,2
478,Sorgho,750,2
478,Sesame,600,2
479,Arachide,1241,1.25
479,Mais,377,0.25
479,Sorgho,500,0.75
480,Gombo,6500,0.800000012
480,Oignon,0,1.200000048
480,Riz,3861,1
480,Tomate,11000,1
481,Riz,400,0.400000006
482,Mais,300,1
482,Mil,500,1
483,Arachide,150,1
483,Mil,200,1
484,Mais,50,1
484,Mil,100,1
485,Arachide,1600,3
485,Mais,350,1
485,Mil,1600,3
485,Pasteque,2000,1
485,Sorgho,200,1
486,Arachide,1050,3
486,Mil,500,2
486,Pasteque,2000,1
486,Sesame,160,1
487,Niebe,30,0.5
488,Arachide,50,1
488,Mil,0,1
489,Arachide,1400,2
489,Mais,600,1
489,Mil,850,2
489,Sorgho,100,1
489,Sesame,250,1
490,Arachide,650,1
490,Mais,550,1
490,Mil,2200,2
490,Sorgho,2600,3
491,Arachide,50,0.5
491,Mil,100,1
492,Arachide,250,1.700000048
492,Manioc,2400,2.299999952
493,Arachide,600,3
493,Mais,500,2
493,Mil,600,1
494,Arachide,600,1
494,Mil,1500,2
495,Arachide,800,2
495,Mil,900,2
495,Niebe,90,2
495,Sorgho,100,2
496,Arachide,500,1.5
496,Mais,300,0.5
496,Mil,2200,4
497,Arachide,300,1
497,Mil,200,1
498,Arachide,530,1.25
498,Mais,680,1.5
499,Arachide,1500,1
499,Mais,1100,1
501,Arachide,300,2
501,Mais,40,1
501,Mil,50,1
502,Mais,200,1
502,Mil,200,1
503,Riz,782,1
504,Mais,100,0.25
504,Mil,250,1
505,Arachide,800,1
505,Mil,300,1
506,Arachide,250,0.5
506,Mais,100,0.349999994
506,Riz,200,0.449999988
507,Riz,350,0.25
507,Sesame,300,1
508,Arachide,3600,6
508,Mais,500,2
508,Mil,1600,4
508,Sorgho,500,4
509,Arachide,400,1
509,Mil,800,1
509,Niebe,90,1
510,Arachide,300,1
510,Mais,250,0.5
510,Mil,367,1
511,Niebe,350,0.5
512,Arachide,2200,2
512,Mais,1500,2
512,Mil,2400,4
512,Sorgho,200,1
513,Arachide,1700,2
513,Mais,560,1
