villages,id_men,taille_menage,age,nbre_heure_travail
Gouye ndock,295,10,40,56
Marina   ndiaye,296,11,61,60
Diankancounda,297,15,45,42
Saré Nagué,298,58,52,35
FASSE DIAE,299,11,54,70
Satte,300,21,75,-99
Camberene,301,4,49,48
Darou  ndiawene,302,5,75,26
Tatene mbambara,303,10,79,-99
Tendouck,304,1,60,70
Diakhaba,305,5,56,0
Ndiamina,306,9,36,56
Médina boudialabou,307,17,50,38
Diegoune,308,18,75,-99
Keur yoro khodia,309,15,38,63
Sambouconda,310,3,48,7
MERINA  SALL,311,13,60,48
DIANKANDY,312,9,53,50
Baghagha,313,13,33,35
Thiankoye,314,30,40,12
Elinkine,315,11,47,40
Karantaba,316,20,66,20
Sorokoume,317,9,43,49
Hafia Mbemba,318,9,53,35
Bantanghedji djida,319,10,54,40
Danthiady,320,7,50,28
Faoye,321,13,75,-99
Sagatta  gueth,322,5,22,90
Yabtil Diop,323,25,51,49
Tuabou,324,3,60,50
Patouki,325,5,70,16
2,326,11,45,48
Talibâdji ouolof,327,5,40,42
H1 Rao croisement,328,6,62,56
Medina alpha,329,14,35,70
Nguedj Diop,330,6,54,-99
Ndienne,331,7,65,35
Doubirou,332,28,51,15
Coura Ndiocrane,333,11,40,56
Sare ngaye,334,11,52,12
Saradou,335,11,34,56
Khodoba,336,5,70,35
NDIAKHATE GATEGNE,337,5,62,32
Keur Pathe,338,8,47,49
Yabtil Diop,339,7,31,47
Gabou,340,10,57,87
Seno Palel,341,9,70,5
Niagnar,342,9,60,56
Dayane Gassel,343,5,38,49
Saraba,344,10,52,56
Ebarack,345,12,20,70
Tekenguel H1,346,6,39,56
Nétéré pakane,347,8,66,14
Saré Bouka,348,18,49,35
Médina Boudialabou,349,17,68,36
LAGNAR BOU MAG,350,6,60,48
Diama thiene,351,8,65,-99
Mbar,352,11,61,63
Djibabouya,353,18,75,21
Methe,354,8,50,63
Ngouye thiandigue,355,13,84,-99
Kamacounda,356,14,55,56
Bounfassow,357,9,50,45
Wentenkou,358,19,65,63
Same Fall,359,10,47,0
Patouki,360,4,45,49
Bourofaye Bainouck,361,21,65,36
Mbissis dia seck,362,5,46,54
Tattaguine,363,11,62,25
Leba,364,12,47,60
Marsassoume Santo,365,12,45,42
Rao peulh  h1 rao,366,8,60,35
Gade panghar,367,9,69,42
Loumby sabsabre,368,4,48,49
Macko,369,8,50,48
Keur   Ndery,370,10,23,70
Ouyal sande,371,15,49,54
Ronkh,372,10,44,52
Kaba,373,16,62,36
Madina boulacounda,374,14,28,60
Ndiayenne Sapeinda,375,12,48,56
Fanda,376,11,52,36
Arafa,377,9,64,-99
Sare ngaye,378,11,73,-99
Satte,379,9,48,48
Santhie goudaguene,380,8,37,48
Diabal,381,9,52,10
Meo Ndiawene,382,12,43,56
Wendou Beye,383,14,77,35
Mbrouvaille,384,27,64,48
Mande kouta 1,385,7,70,7
Sinthiou garba,386,11,67,30
Thiathiaw,387,10,65,35
THIENGUE,388,6,75,38
Hafia Mbemba,389,9,30,35
Sab ka,390,6,50,40
Ndoye diagne,391,8,45,54
AFE Diop Niang,392,7,28,70
Darou Back,393,7,66,37
5,394,9,53,12
Karantaba,395,9,51,30
Baghagha,396,22,72,56
Yadiana,397,7,31,40
Silane,398,20,36,56
Sare El Hadji  Sory,399,12,66,14
Ndoye diagne,400,6,50,54
Mississ dia,401,4,28,56
Yetty khaye,402,10,65,49
Ibel,403,5,57,42
siwal,404,25,54,40
Colobane,405,9,45,50
Ndéménelé,406,7,43,49
Boulel Mody,407,10,45,42
Mabo,408,6,42,63
Agnack petit,409,10,41,8
Missira diakhaly sinthiou oumar,410,10,53,70
Fadam,411,19,50,49
Keur Safady,412,17,49,56
Ndiagne kahone,413,4,38,7
Manconomba,414,9,54,42
Mbiteyene    Momath,415,9,37,56
Afia Bacari,416,5,48,28
Mbarocounda,417,7,50,42
Diao  counda,418,14,71,14
Seokhaye,419,26,62,30
NDiAWE (Diewole),420,6,55,63
Ndimb thioub,421,6,43,35
Tambacoumba,422,14,50,24
Médina degouye,423,10,48,56
Aloudia,424,7,53,48
Thiacalar,425,3,37,63
Darou salam typ,426,13,65,20
Ngueye Ngueye,427,8,68,60
Mbayene,428,7,65,-99
Saré Nagué,429,12,61,30
KALIR,430,7,60,48
Bantankiling Waly,431,17,45,30
Tendaba kindakam,432,12,70,40
Kadji,433,9,45,48
Sare Mbana,434,10,45,63
Gouye,435,9,43,49
Bondie,436,4,63,14
Agnack grand,437,8,41,8
PATHE GALLO,438,10,50,15
Nguedj Diop,439,5,53,58
Belly djimbara,440,9,56,6
Koumpeul Wolof,441,22,70,35
Thiolom diand,442,5,45,32
Elinkine - Sam Sam,443,4,72,48
Mbarocounda,444,20,55,-99
Ndianda,445,11,32,77
Malem   thierigne,446,3,45,48
Sinthiou samba deme,447,4,30,70
Keur  tagiouthe,448,25,45,84
Batandiang,449,5,68,7
Darou Tandine,450,7,79,48
Nemadiaour,451,15,53,49
Mississ dia,452,9,70,35
Bountou Back,453,7,46,54
Mbene Diouma,454,17,40,-99
Ndiossy,455,19,72,12
Mansadala,456,13,62,50
Afia bacary el hadji,457,12,39,56
Diyabougou,458,10,37,58
Pethe Ouarack,459,7,55,63
Afia bacary demba,460,14,58,28
T'ouba mandingue,461,7,38,50
Leona,462,9,70,9
Ndiebel,463,6,32,46
Kaba,464,7,40,49
Touba mbayar,465,7,75,0
Bambato,466,11,70,7
Talto diega,467,9,70,42
Touba Aly Mbenda,468,15,49,49
Patar banane,469,12,42,4
Saraba,470,25,63,0
2,471,12,51,35
Baghagha,472,13,37,56
Thionokh sangue,473,6,57,49
Keur mandongo,474,7,39,75
Arafa,475,5,50,-99
Diass,476,7,57,50
Medina gowe,477,13,55,-99
Yetty khaye,478,9,57,49
Sare Sancoule,479,13,65,21
Thiangaye,480,11,34,68
Badiana,481,6,72,-99
Sathie gualgoné,482,8,55,70
Diagle,483,4,26,40
Patouki,484,7,43,56
Sagnol,485,8,50,46
Francounda sarakhole,486,27,65,42
Pelour,487,5,33,56
Pakhamkouye 1,488,10,65,-99
Yetty khaye,489,7,55,49
Madially,490,8,65,25
Gouy kouli,491,8,56,60
BAITY  DAKHAR,492,12,72,-99
Niahene,493,15,70,-99
Keur mbin mody diouf,494,8,60,4
Nguelou bindive,495,7,55,-99
ngaba,496,19,48,40
Colobane soumbel,497,9,60,-99
Sinthiang Koundara,498,11,47,35
Fode  Binea,499,5,46,25
Gorom2,500,10,42,49
Kathiotte,501,6,60,43
Fass ferlo,502,4,40,49
Nyassia,503,5,54,42
Belly djimbara,504,7,42,4
Kathiawane,505,12,56,63
Kenewal,506,7,50,30
Agnack Petit,507,10,42,35
Belele,508,23,34,49
TALLAKH,509,6,55,48
Sougoufara Pathe,510,8,44,47
Diabal,511,2,65,56
Keur yoro soumbou,512,20,67,36
Medina Hanecounda,513,8,43,7
Roundal sakhal,514,10,43,6
Dayane gaselle,515,8,50,49
Boukoutigho,516,7,45,48
Louky Seane,517,6,63,58
Keur nderry,518,13,45,63
Missira Adioubi,519,5,70,0
Gassane  Ndawene,520,14,51,49
Guiro yero bacar,521,10,55,56
Darou salam,522,9,66,43
Dienguéne mody,523,3,42,56
Sambangar,524,8,68,10
Dangalma,525,18,60,70
Thiakho   madiale,526,14,35,56
Diankancounda,527,17,60,15
Sans hier gargnone,528,5,70,70
Mbayene diack,529,6,41,-99
Ndioumene,530,7,50,36
Mbayene diack,531,22,64,60
Nenefecha,532,10,68,42
Haffé Lour,533,12,70,21
Mbatar diop,534,14,64,40
Gaina Mbar,535,3,54,52
Sare Djoubel,536,3,45,35
Keur Séyni,537,6,35,63
Taiba niassene,538,15,58,76
darou minam,539,15,60,40
Sindone,540,16,68,56
Ndiamalathel,541,5,45,7
Arafa,542,5,56,-99
Fongolimbi,543,7,50,30
Boukhou,544,8,39,50
Ndiassam,545,8,64,8
Walya kande,546,45,39,60
Sare Lally,547,7,31,30
Ndioral Diambaye,548,7,57,70
Village  11,549,9,70,16
Wendou ilo,550,4,61,49
Wack ngouna,551,30,56,49
Francounda sarakhole,552,13,67,35
Kagnarou,553,9,61,42
NDIAWE (DIEWALE),554,14,48,63
Poitiers,555,3,20,6
Tallen,556,6,76,35
Ngar de  Gueth  Ardo,557,17,58,83
Bamba mamadou,558,5,43,70
Wandé,559,8,35,12
Bamba thialene,560,9,59,0
Diokoul mbelbouck,561,10,42,70
Mandankhony,562,7,50,28
Ndereppe,563,5,41,-99
Oudoucar,564,10,74,0
NDANKH SENE,565,6,80,-99
Goundafa,566,9,49,5
Boudy sakho,567,9,83,0
