villages,id_men,taille_menage,age,nbre_heure_travail
Ngondiaye    Serere,1745,20,40,56
1,1746,7,50,-99
Khourou ndiobene,1747,6,30,40
Mbayene  diack,1748,12,28,48
Lewe nguenar,1749,11,55,30
Worbé sounkarou,1750,11,52,70
Bely TatiSerere,1751,13,35,63
Ndomor,1752,5,69,28
Khondokhou,1753,5,48,56
Sagatta,1754,9,39,70
ngaba,1755,17,60,18
Hafia Mbemba,1756,15,32,49
Mbalamsone,1757,10,60,63
Keur magueye,1758,7,60,36
Tientiegue,1759,10,55,32
Diaké marame,1760,10,47,63
Soboulde,1761,9,58,35
Mbancouma,1762,9,52,28
Médina sily,1763,12,36,56
Saré Nagué,1764,7,41,35
Faraba,1765,21,39,77
Khantar   diagne,1766,11,56,60
Fassada,1767,6,45,8
Ngongo,1768,6,52,40
Goundiourou,1769,9,57,6
Patar banane,1770,11,65,8
Bondji sinthiane,1771,7,69,63
Keur baba ngoné,1772,9,50,56
Koussanar Soce,1773,7,47,42
Ngayene,1774,6,37,56
Amadara,1775,4,56,35
Thiamene walo,1776,12,39,60
Ndiaback,1777,9,65,-99
Afia bacary demba,1778,4,62,56
Poundioum,1779,12,41,28
Pelour  ( mboltime ),1780,13,42,54
Madina El hadji souane,1781,10,70,30
Missira mbayenne,1782,8,75,42
Doubirou,1783,6,40,14
Diam  diam,1784,10,35,49
Diambour,1785,9,56,35
Boeud  dieng,1786,4,70,35
Thikogne,1787,6,56,49
Ndiendieng,1788,21,42,49
Mangnor,1789,9,61,7
Saradou,1790,13,40,56
Sinthiou Boure Bana,1791,9,62,65
Kevoye,1792,4,37,6
Ndimb thioub,1793,5,40,35
Diagle,1794,10,39,48
Pendao,1795,10,51,63
Diaroume,1796,7,43,8
Koutal   Ngagne,1797,15,53,56
Thiempeng,1798,9,74,6
Manconomba,1799,15,59,91
Colobane,1800,12,70,0
Bogal,1801,4,48,42
Bantang countou,1802,7,50,40
Sagatta,1803,9,64,49
Goundaga Assane,1804,18,66,40
Diagongue,1805,8,46,56
Brandoufary,1806,29,67,42
Colobane,1807,6,70,0
Keur me Doune ndiaye,1808,9,60,90
Gott1,1809,11,42,-99
Keur mbaye coumba,1810,10,67,63
Tatene mbambara,1811,8,81,-99
Ndiarno ricadji 2,1812,5,48,56
TABADIANG,1813,10,47,50
Kaba,1814,10,50,49
Thione,1815,5,48,7
Sop  1,1816,17,42,56
Taofekh,1817,4,23,49
Daro mango,1818,6,43,49
Naide,1819,9,50,42
Ndereppe,1820,12,26,-99
Nema Bah,1821,18,55,48
Bondie,1822,2,52,13
Keur  diogoye,1823,4,55,96
Ngnippy,1824,11,46,56
Elinkine - Sam Sam,1825,6,45,24
Médina gounass,1826,9,72,24
Khourou ndiobene,1827,11,38,36
Karcia,1828,10,77,42
AFE DIOP,1829,6,41,49
Keur ndiaye lo,1830,42,63,40
Mbodjiene,1831,6,46,63
Ngougouss,1832,10,45,84
BELLY THIOVY,1833,9,79,5
Sinthiou samba deme,1834,6,36,56
3,1835,8,75,0
Sinthiang Maoundé,1836,6,68,70
Bellel diawle,1837,8,40,9
Fass gounass,1838,13,60,48
Mabo,1839,9,40,35
Ndiama,1840,1,16,4
Sagnol,1841,10,52,46
Gawane,1842,12,59,36
Boudy sakho,1843,7,68,0
DIETTE,1844,8,48,54
Besselel   Ndiawene,1845,7,43,35
Peul lamassasse (mbayane),1846,13,74,48
Missira mamadou Bowé,1847,15,55,21
Ndiarame,1848,6,67,-99
Santhie    Sambou,1849,8,35,56
Darsalam,1850,5,47,56
Sinthiou ifra,1851,7,40,70
wendou,1852,5,30,40
Gamba gamba,1853,8,49,56
Pendao,1854,9,36,64
Gabou,1855,7,46,87
Gassane,1856,8,55,9
Bissary,1857,4,39,35
Simbandi  balante,1858,7,48,42
Ndangalma,1859,27,53,56
Faoye,1860,26,52,26
Ndimb thioub,1861,4,67,14
SINTHIANG Sara,1862,3,30,35
Patoulane ndiobene,1863,4,43,65
SAME GUEYENE,1864,6,45,70
Ndiedieng,1865,16,44,56
Fadiacounda,1866,9,80,50
Galoyabe,1867,13,60,35
Niaguis,1868,5,67,56
Warang,1869,9,39,70
Kamadou,1870,6,45,48
Ndilasséne,1871,30,72,25
MBonaye 2,1872,5,35,48
Diamane,1873,13,74,42
Néma Dianfo,1874,19,55,70
Lamsar,1875,6,33,60
Bellekho extention,1876,6,50,54
Khayane,1877,9,41,8
Agnack Petit,1878,5,41,35
Diambéye,1879,4,48,48
Gasse doro,1880,5,57,15
LONDIOR,1881,7,80,0
Ngadiaga,1882,12,40,42
Batandiang,1883,8,65,8
Oudalaye,1884,4,28,12
Ngoundiane samel,1885,16,65,48
Sandingounda,1886,7,49,4
Boukhou,1887,8,60,36
Niakhar,1888,10,51,26
1,1889,3,40,50
Idamouride,1890,16,72,-99
Gueule peulh,1891,7,37,70
Thione,1892,4,65,5
FADAM,1893,19,80,-99
Thiathiaw kaba keur ndiawrigne,1894,9,51,56
Médina gounass,1895,5,61,15
Darou ndawene,1896,17,55,49
Touba Niane,1897,11,48,56
Sorokhassap,1898,9,62,49
Ndienghene mody,1899,8,30,65
Oudoucar,1900,12,50,56
Kafountine,1901,9,50,20
Saré Bouka,1902,9,58,20
Santandiang,1903,9,68,48
Faraba,1904,6,45,84
Tomboronkoto,1905,8,25,42
Yeral fall,1906,7,45,35
Ndiarga lambaye,1907,9,41,60
Mbonaye 2,1908,4,50,49
Samba colo,1909,7,56,4
Médina gounass,1910,26,52,18
Mandina  balante 2,1911,13,62,30
Mayor,1912,6,66,6
Mbambey,1913,10,56,-99
Thiacalar,1914,4,67,63
Bindago,1915,8,66,30
Sinthiou Maleme,1916,7,36,42
Keur yoro khodia,1917,15,50,49
Sare,1918,15,60,42
Samba Doguel,1919,7,70,49
Pathieme,1920,11,60,30
Taiba,1921,11,62,-99
Keur  Sountou,1922,7,51,49
Baila   Ndour,1923,8,52,45
Ngadiaga,1924,8,50,42
Batandiang,1925,8,53,7
Sambagar,1926,9,59,72
Teyel,1927,10,47,42
Kassack  sud,1928,10,41,42
ngaba,1929,29,36,40
Médina Boudialabou,1930,4,80,14
Sandingounda,1931,6,45,4
Keur  sidi  tall,1932,14,40,63
Wassadou,1933,1,52,50
Kassack   sud,1934,9,68,35
Keur Omar Sabaly,1935,16,46,49
Médina gounass,1936,13,64,14
AÉRÉ  POSTE,1937,6,53,35
Nayobe gaye,1938,5,30,42
Ndiobene Ndeme,1939,7,42,70
KEREWANE,1940,14,65,50
Bagnomba,1941,12,54,52
Sangnanème,1942,13,42,66
Wendou namary,1943,5,40,49
Daga  Balla,1944,9,40,56
Gouye mbanda,1945,9,41,42
Sorokhassap,1946,19,76,0
SAME goumak,1947,4,36,70
Diattafa,1948,11,40,45
Keur ibrahima mbaye,1949,8,45,63
Dr warbe sounkarou village welia mbounka,1950,18,38,70
Oudalaye,1951,7,55,49
Diagnri pont,1952,5,50,25
Eganga,1953,6,25,72
Dioly mbandakhe,1954,8,38,48
Ndiolhoba,1955,10,52,35
Keur   Bame,1956,9,50,56
Bani diega,1957,12,39,49
Missirah Demba Sadio,1958,10,73,56
Rao gare h1 wourou,1959,11,71,63
Madina bappe,1960,9,36,56
Edallé,1961,6,45,29
Gaina Mbar,1962,5,71,50
Keur alassane diaw,1963,6,81,77
Ndiendieng1,1964,11,47,70
Soumboundou,1965,5,70,70
WORDE GODELE,1966,9,49,37
Koar,1967,10,49,8
Keur    Ndery,1968,13,45,56
Nyassia,1969,7,40,42
Etama,1970,8,54,0
Fass Dieguenne,1971,5,45,56
Touba Thiapato,1972,6,54,42
Galayabe,1973,17,42,28
Kougany,1974,5,65,78
Keur    Soce,1975,20,42,56
Mbilor,1976,5,65,25
Gasse doro,1977,4,56,49
Ainoumane medina,1978,6,69,-99
SARE PATHE DIALLO,1979,11,63,45
Yeral fall,1980,11,65,35
Sare Pythia,1981,10,30,35
Yarguouye,1982,17,69,63
Pakala,1983,15,48,30
Darou pakala,1984,5,39,63
Mbayene  diack,1985,20,59,48
Thysse,1986,9,45,35
Kathiote,1987,3,40,17
Niakhar,1988,18,54,30
Keur Ndene Ndao,1989,6,45,49
Saly escale,1990,12,52,49
Kabiline 2,1991,19,37,25
Tatene mbambare,1992,10,77,-99
SINE LEYE KANE,1993,10,85,-99
Keur omar santhie,1994,9,53,42
Sare  mougna,1995,11,64,14
Taiba niassene,1996,14,65,75
Darou salam,1997,4,55,14
Djilor,1998,7,44,32
Touba Kael Peulh,1999,8,38,40
SARE PATHE DIALLO,2000,13,55,50
Saly toro,2001,25,77,-99
Velingara woulou,2002,13,31,56
Thiaméne walo,2003,21,39,56
Rimbakh peulh,2004,7,50,56
5,2005,8,55,42
Kallir,2006,6,56,30
Dioulafoundou,2007,8,41,35
Touba  Sam,2008,9,70,50
Guide wouro,2009,12,30,56
Nenefecha,2010,8,53,42
Yaoudar Youssoupha,2011,4,45,48
Wardiakhal,2012,10,65,40
Foumi Hara diobe,2013,5,61,5
Sare boyly,2014,14,29,48
Camara,2015,20,70,48
Dendoudi doka,2016,11,84,42
Touba Thiapato,2017,5,51,42
Keur sa rokhy,2018,9,40,75
Taiba,2019,7,35,60
Fadia'Conda,2020,12,70,40
Keur bara feudy,2021,16,70,56
Mbankouma,2022,8,50,-99
Soumnane,2023,13,42,48
Oudalaye,2024,7,75,30
Kountada,2025,27,47,42
Kouthiaba wolof,2026,6,38,48
Sanoufili,2027,5,56,30
Madially,2028,9,64,49
Koumpeul Wolof,2029,10,35,70
Nguidile,2030,15,75,46
Niro à tall,2031,9,45,42
Diagualy,2032,6,35,9
Mbelode,2033,9,42,7
Touba bantan gnlma,2034,25,65,70
Diacksao Aidara,2035,9,42,10
Sinthiou Maleme,2036,20,67,42
Thiacalar,2037,8,62,63
Agnack petit,2038,26,85,0
Doyoly,2039,9,30,36
Cap skirring,2040,8,58,45
Thieye  thieye,2041,5,75,-99
Wardiakhal,2042,22,45,84
Sorokhassap,2043,20,76,21
Tivaouane peulh,2044,6,62,64
Keur ngor tine,2045,17,31,36
Kahi,2046,15,50,46
Ndiayéne momath,2047,18,66,56
Belly djimbara,2048,8,51,4
Doubirou,2049,17,66,14
Thiacalar,2050,7,75,7
Nianao,2051,7,50,0
Keur   medoune   ndiaye   b,2052,7,43,58
Kheinde,2053,3,52,13
Nguethie,2054,15,38,42
Kafountine,2055,8,41,25
Batandiang,2056,8,68,8
1,2057,12,50,70
Kelewtewserere,2058,12,40,96
Keur momar sarr,2059,3,58,35
Ainoumane,2060,14,54,49
Kagnarou,2061,4,72,42
Bambaraya,2062,4,54,56
Diakha  Madina,2063,6,49,21
Kollo,2064,2,69,35
Ndioum Ngainth,2065,5,53,56
Syllacounda,2066,13,72,0
Sine leye  kane,2067,4,55,35
Missirah,2068,9,66,48
Demba Coulla,2069,8,42,35
Sambouconda,2070,4,62,7
Maka baragueye,2071,7,65,38
Sorocogne,2072,9,58,-99
SaoSou kouta,2073,14,47,65
Taiba Niassene,2074,22,61,56
Djilakh,2075,13,75,15
Selety,2076,12,53,30
Koutal guagne,2077,16,46,84
Darourahmane,2078,14,63,56
Niakhar,2079,16,63,54
Bambarayading,2080,3,55,21
Médina  sy,2081,1,54,6
Koutal    Ngagne,2082,9,35,56
Ndiedieng1,2083,14,51,70
Ndiedieng 1,2084,13,43,70
KASSAS,2085,18,36,70
Tivaouane peulh,2086,7,78,49
Temento goundo,2087,17,57,49
Coura Ndiocrane,2088,5,33,49
Ndiarno ricadji 1,2089,9,51,56
NDINDY,2090,7,41,48
Ngoye,2091,15,40,56
Thiolome ndiande,2092,8,76,48
Boukhou,2093,8,45,30
Médina Ndiobene,2094,6,33,49
Agnack grand,2095,19,55,8
Missirah,2096,4,50,30
Khatete,2097,8,38,56
Mbacke Ndiock,2098,9,35,-99
FAOUNE,2099,8,58,10
Labe thierno,2100,7,45,35
Yellingara,2101,5,60,87
Digane,2102,6,60,91
Balmadou,2103,7,50,55
Guereo,2104,9,63,55
Boucotte diola,2105,5,70,35
Ndimb thioub,2106,7,47,28
Ndoudiour,2107,4,65,70
Lamsing,2108,6,55,60
Fass  ndiayene,2109,13,50,49
Bodiene,2110,3,69,28
Thiedieng,2111,7,88,48
Nabadji Civol,2112,11,45,14
Keur Moussa Ly,2113,9,45,46
Elinkine,2114,6,55,48
Sirworo,2115,7,40,28
Kanel,2116,12,46,5
Lahi,2117,8,45,45
Yapen,2118,18,50,3
Diagnri pont,2119,10,58,-99
Diamagueune,2120,4,37,40
Payoma,2121,6,50,35
Niemenike,2122,12,63,42
Bogal,2123,6,60,42
SAME  GUEYENE,2124,18,67,-99
Sare Tobo,2125,2,43,49
Santhie Ngueth,2126,21,56,48
Sasse,2127,7,40,54
Sandingounda,2128,9,59,4
Médina alpha,2129,8,29,70
Niahene,2130,6,52,-99
Sinthiang Talong,2131,14,62,49
Dator,2132,6,41,49
Bamba thialene,2133,5,49,48
Sare wali thiapa,2134,8,65,56
Mampatim,2135,12,35,42
Ndiama,2136,1,46,7
Coura mouride,2137,15,40,49
Darou   cisse,2138,5,45,35
Bodiene,2139,9,70,28
Ndialigue,2140,6,57,-99
Agnack petit,2141,9,53,8
Mboyo,2142,7,50,56
Keur ndiouga,2143,10,82,-99
Gatte ngaraffe2,2144,14,55,70
Kaba,2145,6,39,49
Médina torobe,2146,5,56,6
Kounghany,2147,7,81,0
Nété daga wolof,2148,10,52,63
Boudaye,2149,23,33,84
Kack,2150,5,62,49
Niemeneke,2151,10,54,42
Naide,2152,11,52,-99
Malicounda wolof,2153,8,56,72
NdiebeneToube,2154,7,57,56
Ndiedieng1,2155,19,41,70
Tenghory Transgambien 1,2156,13,77,56
Sinthiou dimbou,2157,14,46,70
BARKATOU,2158,9,78,5
Kafountine,2159,7,79,20
Notto gouye diama,2160,5,39,-99
Keur  ngane,2161,8,65,48
Ebarack,2162,9,46,5
Gouye ndock,2163,4,71,56
Lamsing,2164,5,75,60
Mawa,2165,6,45,48
Baghagha,2166,6,54,70
Thindy sambey,2167,14,66,49
Cabrousse mossor,2168,6,62,45
Badiangara Moussa,2169,17,42,84
Kadji,2170,13,65,56
Médina Cherif,2171,6,59,97
Keur samba mbaye,2172,9,42,42
Nguedj Diop,2173,27,64,60
Bantinguel2,2174,9,45,48
Sabadola,2175,8,65,49
Ngadiaga,2176,16,40,-99
Missirah,2177,13,82,0
Tivaouane peulh,2178,11,42,42
Bouyouye,2179,7,55,45
Polel Diaobe,2180,17,50,8
Mboukhoutour,2181,13,50,42
RISSO FALL,2182,11,42,40
Ndioukh thiorokh,2183,10,68,42
Samba Doguel,2184,5,62,49
Ndayar,2185,5,56,54
Kagnarou,2186,8,75,-99
Soubacounda,2187,17,40,65
Meo meo,2188,10,50,56
Sab  ka,2189,11,60,35
Ngathie Peulh,2190,7,76,27
Médina tout salam2,2191,8,35,10
Thiankhe,2192,22,66,54
Singhere mandingue,2193,7,55,45
Sinthiou Maleme,2194,7,73,30
Bambaly,2195,8,62,0
Sinthiou Wouro,2196,8,38,48
Pakhoum kouye1,2197,7,52,-99
Fass gounass,2198,7,55,48
AFE DIOP,2199,10,42,56
Labgar,2200,15,70,2
Cagnout Ebrouaye,2201,13,37,35
Meo meo,2202,8,63,-99
Medinambayene,2203,8,48,56
THIAKH NIANG,2204,8,45,48
wendou,2205,4,51,40
Khougany,2206,6,78,45
Samoura,2207,8,57,8
Bantankiling Waly,2208,7,40,35
Béllé,2209,20,65,8
Marou maoundé,2210,9,67,50
Depre,2211,19,55,50
Ngouck Diama,2212,12,45,56
Darou Sahette,2213,15,40,49
Daga   Balla,2214,7,50,56
Keur   Ibrahima,2215,10,35,56
Diegoune,2216,10,60,21
Thiabecare,2217,7,47,42
Mereto,2218,16,40,49
Macka    Fasse,2219,22,67,-99
1,2220,11,43,-99
Namandry,2221,10,62,86
NDIOUM NGAINTH,2222,3,53,35
Ndiandiaye,2223,20,35,63
Mankagni Moundjourou,2224,2,48,35
Diyabougou,2225,10,45,66
SARE BITEYE,2226,16,81,35
Mancolicounda,2227,10,63,40
Mboyo,2228,11,56,60
Guet peulh,2229,6,65,70
Gorom 2,2230,12,52,56
Thiangaye,2231,17,67,64
Gade   panghar,2232,11,58,90
Niague,2233,13,76,40
Adeane,2234,18,51,36
Wallangkingui,2235,5,30,-99
Gawane ndodj,2236,10,60,48
Diout nguel,2237,4,67,6
Koffo,2238,47,63,42
Koulandiang,2239,12,44,20
Médina kocoum,2240,13,73,12
Woure bai bai,2241,4,32,-99
AÉRÉ  POSTE,2242,5,41,30
Sare sama,2243,7,35,70
Keur saloum diane,2244,6,60,42
Dator,2245,7,68,0
Sare  kangnako,2246,8,25,56
Siriworo,2247,7,38,30
Guediane,2248,8,45,0
Teyel ablaye,2249,4,76,14
siwal,2250,11,52,40
Keur thierno dieye,2251,11,50,60
Bonaye 2,2252,5,30,49
Baghagha,2253,11,30,-99
Diagle,2254,11,38,50
Sam Fall,2255,11,72,35
Soupane,2256,8,70,32
Kabiline2,2257,14,37,30
Darou ndawene,2258,9,30,49
Ndiama,2259,1,56,8
Sinthiang male,2260,8,46,3
Boucotte diola,2261,7,70,40
Kolia,2262,5,66,21
Ngadiaga,2263,8,40,-99
Nargua,2264,8,50,49
Touba mbayard,2265,5,50,32
Sandiniery,2266,10,59,30
Mabo,2267,10,72,49
Madina toure,2268,9,65,84
Thionokh sanghe,2269,7,69,42
Touba  bantan gnima,2270,5,55,72
Patoulane ndiobene,2271,6,45,56
Linguel Dibane,2272,13,40,42
Ngadiaga,2273,9,40,42
Médina gounass,2274,19,62,18
Agnack,2275,15,55,-99
Thionokh sangue,2276,20,56,49
Sere samber,2277,5,72,0
Fasse ferlo,2278,4,65,49
Pire goureye,2279,7,93,0
Thiaméne Ousmane,2280,20,65,56
Nianao,2281,20,72,0
Tekinguinh 1,2282,8,33,49
Nguarigne,2283,9,48,28
Aliou Samba,2284,13,40,56
Mbelbouk,2285,16,26,24
Darou Diene,2286,13,55,63
Cagnout Ebrouaye,2287,8,73,0
Rimbakh peulh,2288,11,45,35
Bandoulou toucouleur,2289,20,75,65
Woulidié,2290,6,40,49
Ebarack,2291,9,26,10
Darou rahmane,2292,11,70,-99
Sinthiou dimbou (fass tobene),2293,14,40,80
Fasse ndiayene,2294,11,50,49
Ndirene,2295,3,52,-99
Ndiokane  tine,2296,20,64,20
Sinthiou Polel,2297,20,75,9
Arafa,2298,10,55,-99
Khodaba,2299,7,49,56
Sare Sawindou,2300,9,52,56
Ndiebel,2301,10,70,-99
Khayane,2302,9,82,0
Keur magaye,2303,11,47,49
Lansar-Ainoumane,2304,15,41,70
Koboyel,2305,6,42,7
MOUSLADJI 2,2306,10,48,32
Sare Maoude Dandio,2307,19,36,30
Singhere mandingue,2308,7,45,50
.Mballo Counda,2309,19,69,0
FASSE DIAE,2310,15,57,-99
Dialaka,2311,40,57,30
Badiana,2312,13,58,49
SOMBE,2313,8,65,48
Médina  kanene,2314,17,70,15
Ndiene,2315,9,50,35
Afia bacary el hadji,2316,17,54,56
Barsafo,2317,17,35,65
Sam Fall,2318,9,76,14
SARE DOULO,2319,9,53,35
Darou Ndiaye,2320,6,32,52
Cagnout Ebrouaye,2321,7,48,40
Missira mboyenne,2322,13,50,56
Dans alambic Bory,2323,17,43,72
Palado,2324,8,46,4
Rimbakh peulh,2325,9,59,56
Ndereppe,2326,8,81,42
Diamaguene bambado,2327,12,60,-99
Woulidjé,2328,5,52,49
Ngueyegueye,2329,5,45,70
Médina ndrame,2330,4,68,-99
Nguere,2331,15,46,70
Dialocouba,2332,8,60,35
Bambaly,2333,12,60,56
Medina Hanecounda,2334,6,41,7
Keur   Modou   Diamatou,2335,7,60,56
Diokoul mbelbouck,2336,9,35,-99
Djibabouya,2337,35,50,42
Nguithie thiandigué,2338,22,60,70
Nguethie,2339,6,50,42
Mansadala,2340,3,49,60
THIEYE THIEYE,2341,6,60,-99
Yarguouye,2342,7,60,50
THIE CSSE,2343,5,49,48
NDIETTE,2344,6,50,48
Darou   Pakala,2345,10,35,49
Yene,2346,10,60,-99
Kadji,2347,14,50,10
Belele,2348,12,60,49
Santandiang,2349,5,71,25
Kaguit,2350,13,61,48
Ndombolokh,2351,6,37,46
Ronkh,2352,8,58,40
Keur babou ngoné,2353,6,40,75
Ndindy,2354,9,50,48
Mankonoding,2355,7,52,48
Afia bacary el hadji,2356,13,71,0
Guereo,2357,8,35,40
Raynabe2,2358,6,42,40
Baliga,2359,5,62,25
Koutal Ngagne,2360,5,20,49
Baline,2361,14,58,76
Ndiambour 2,2362,14,57,-99
Khatta Nguinth,2363,8,70,54
Darsalam,2364,5,35,-99
Kayemor,2365,14,74,56
Dioulafoundou,2366,4,40,28
Thilmakha,2367,9,37,35
Oudalaye,2368,5,48,49
Mengueye,2369,8,51,35
NDIAWE (DIEWALE ),2370,15,48,42
Golmy,2371,4,35,77
Niahene,2372,15,70,-99
Meo ndiobene,2373,10,45,77
Gawane,2374,13,58,48
Missirah,2375,13,60,55
Coubalan,2376,8,46,18
Mansadala,2377,19,55,50
Mereto,2378,14,75,10
Samali,2379,6,33,56
Thakh0  madiale,2380,7,32,84
Tambacounba,2381,10,67,42
Dioly mbandakhe,2382,17,42,70
Niaguis,2383,7,66,35
Mancolicounda,2384,8,70,40
Ngadiary,2385,4,30,42
Macina Seyni,2386,9,86,97
Djilakh,2387,9,60,63
Diout nguel,2388,3,65,3
Diagnon,2389,22,63,72
Médina  sy,2390,1,78,14
SAME goumak,2391,18,76,-99
Manconomba,2392,23,63,56
Fongolimbi,2393,12,53,35
Sare walome,2394,7,36,42
Thiathiaw,2395,4,62,35
DIALAMBERE,2396,23,70,45
Demba Coulla,2397,8,46,35
Sare wali kambadiou,2398,10,57,56
Ndiobene Ndeme,2399,10,40,56
Kandioukou,2400,7,62,6
Barkael,2401,10,37,5
Saly escale,2402,2,25,49
Epingué,2403,15,48,72
Gatte ngaraffe1,2404,12,30,-99
THIENEL SAKHOBE,2405,6,55,12
Cabrousse mossor,2406,6,61,50
Bangnomba,2407,8,65,42
Keur ibrahima mbaye,2408,27,51,49
Ngalkhaya,2409,23,39,49
Danthiady,2410,13,74,21
Keur soce,2411,13,60,84
Mboudaye,2412,5,65,20
Sinthiang Samba Coulibali,2413,15,41,84
Sagatta,2414,6,59,90
Talto diega,2415,6,45,56
Sao  Soucouta,2416,13,58,55
Gabou,2417,10,46,86
2,2418,10,46,-99
Sinthiou ifra,2419,9,66,56
Tivaouane peulh,2420,12,53,54
Ngor diaye   serrere,2421,13,65,94
Sinthiou garba,2422,12,30,28
Malemeba,2423,4,32,65
Niangal,2424,22,59,-99
Agnack petit,2425,13,52,8
Keur khaly sokhna,2426,7,62,42
Thiagar,2427,6,35,40
Namandri,2428,4,40,49
Médina alpha,2429,10,30,70
Cabrousse nialou,2430,4,65,35
Leur gane,2431,7,57,30
Barsafo,2432,6,31,65
MÉDINA sili,2433,12,50,70
Keur Mady Yacine,2434,11,34,36
Kheinde,2435,5,51,13
Mbancouma,2436,15,52,5
Ndiongue fall,2437,21,86,10
Koundioundou,2438,13,49,77
Mbambey,2439,6,49,-99
2,2440,7,50,50
2,2441,8,40,-99
Nguerane goumack,2442,32,58,48
Niagnar,2443,9,35,70
Fadiacounda,2444,15,73,55
Beud  forage,2445,3,42,80
Diakene ouolof,2446,4,63,35
Bellekho extension,2447,10,56,54
Thisse,2448,8,44,63
Yene guethie,2449,10,53,40
Touba Aly Mbenda,2450,6,70,49
KEBE Thiylla,2451,9,75,43
Thiola,2452,2,46,-99
Sinthiou Garba,2453,9,96,1
Samba Doguel,2454,4,65,49
Kantar,2455,8,53,54
Porame  peulh 2,2456,6,37,45
Sinthiang Diouma,2457,15,55,56
Keur Mar,2458,22,63,-99
Mbene Diouma,2459,11,67,-99
Ainoumane,2460,11,35,70
Kelle gueye travaux,2461,9,42,56
Sare Maoudo Dandio,2462,19,42,50
Keur Sountou,2463,11,52,56
Ndirene,2464,8,58,-99
Badiana,2465,15,73,35
Bodjene,2466,9,55,56
Niaguis,2467,20,61,36
Leba,2468,22,55,50
SITABA,2469,6,40,42
Kantar,2470,10,50,54
Darou pakathiar,2471,7,58,60
Diama  thiene,2472,6,55,36
Ngathie Peul,2473,6,69,62
Thione,2474,4,72,42
0udalaye,2475,11,25,49
Taofekh,2476,18,63,49
ngaba,2477,7,50,40
ngaba,2478,9,50,40
Darou salam  diop,2479,26,57,56
Sinthiou Maleme,2480,15,50,42
Sinthiou Polel,2481,17,72,7
Hamdallaye tessan,2482,5,50,56
Rao gare h1 wourou,2483,12,64,35
Mboyo,2484,8,64,56
Elinkine - Sam Sam,2485,5,43,35
Marou maounde,2486,6,31,70
Keur Modou ndiamatou,2487,14,40,63
Tomboronkoto sekhoto,2488,7,42,42
THIENEL SAKHOBE,2489,5,42,20
Farabato,2490,20,79,49
Daga   Birame,2491,16,42,49
Ndirene,2492,5,56,-99
Dialocouba,2493,6,47,49
Barafoute,2494,13,53,42
Maka fall,2495,7,48,40
Ngar keur naimbelly,2496,11,60,42
Ndiegene mody,2497,15,39,75
Balakonko,2498,4,38,21
Koar,2499,30,44,10
Darou Ndiene,2500,10,43,54
Syll thiakhene,2501,5,35,48
Médina Demba Billo,2502,6,45,48
Boucotte ouoloff,2503,6,44,45
Ngalagne,2504,16,51,28
Kaba,2505,14,55,49
Boof,2506,6,47,36
Sinthiang Koundara,2507,29,52,14
Touba ndawene,2508,8,61,49
Golonde,2509,10,55,28
Maka Sacoumba,2510,14,56,84
Nguick fall,2511,4,44,56
Bail Diop,2512,8,82,0
Mbatar,2513,9,90,88
Thiadia ndindy,2514,11,65,63
'Niankitte,2515,9,36,49
Talto,2516,28,40,84
Tendouck,2517,9,70,-99
Koudy,2518,5,60,42
Baghagha,2519,8,67,54
Keur saloum diane,2520,10,43,42
Aliou Souare,2521,9,51,42
Mbissis dia seck,2522,8,35,54
Dagawoudoume,2523,20,90,0
Ethiolo,2524,8,43,12
Thakh0  madia,2525,13,58,42
Darou  gaye,2526,7,45,48
Boof,2527,7,35,48
Bokh,2528,10,67,72
Gaina Mbar,2529,6,45,50
Thiaothiao,2530,13,56,35
Payckoup  serere,2531,5,52,40
Agnack petit,2532,7,60,48
Baïla ndour,2533,11,50,49
Bellekho ann,2534,5,46,54
Gapasse,2535,10,45,36
Meo Ndiawene,2536,13,80,45
Cap skirring,2537,8,65,20
Bounfassow,2538,13,53,45
Kanene kane,2539,6,38,54
Kiniabour 2,2540,7,50,50
Ede,2541,7,60,52
Diagnoum,2542,14,55,86
Talto Pakao,2543,15,35,49
Médina toure,2544,7,42,49
Foumyharra Diobbe,2545,17,78,8
Ronkh,2546,4,36,30
Boulimanga manding,2547,4,32,36
GUINTHE MATAR,2548,6,35,48
Dendoudi doka,2549,6,31,42
Maka fall,2550,6,36,25
Darou  minam,2551,11,52,40
Oudoucar,2552,12,50,49
Lamin,2553,10,36,30
Khamnane,2554,18,62,30
Keur    Ndery,2555,8,41,56
Patoulane ndiobene,2556,6,33,56
Nargua,2557,5,50,48
Diala foundou,2558,4,50,42
Maka baragueye,2559,3,37,8
Koussanar Soce,2560,10,43,43
Medina gowe,2561,7,40,42
Gabou,2562,5,50,77
Ndande,2563,10,58,42
Sare bacary,2564,6,64,35
Ndiakhate,2565,8,35,35
Marina ndiaye,2566,6,70,38
Belal djiga,2567,4,51,60
Darou  mbacke,2568,14,52,36
Keur makandji,2569,11,28,48
Mousnakh ngath,2570,6,55,5
Dayane gassel,2571,5,36,49
Kaba,2572,11,60,49
Wilanene,2573,7,36,40
Ndoffenne,2574,8,66,48
Meo diobéne,2575,10,65,50
Diawrekouta,2576,33,80,-99
Darou Ndiaye,2577,7,42,52
Médina gounass,2578,16,60,20
KOUNAYAN,2579,5,49,40
